name,club,age,citizenship,coaching_licence,avg_term_as_coach,preffered_formation,current_league_country
Pep Guardiola,Man City,50,Spain,SEG,3.38 Years,4-3-3 Attacking,England
Ole Gunnar Solskjaer,Without Club,48,Norway,Jim Solbakken,2.05 Years,4-2-3-1,England
Thomas Tuchel,Chelsea,48,Germany,Dr. Olaf Meinking,2.28 Years,3-4-2-1,England
Jürgen Klopp,Liverpool,54,Germany,UEFA Pro Licence,5.40 Years,4-3-3 Attacking,England
Nuno Espírito Santo,Without Club,47,Portugal,Gestifute,1.76 Years,3-4-3,England
Brendan Rodgers,Leicester,48,Northern Ireland,UEFA Pro Licence,2.02 Years,4-2-3-1,England
Rafael Benítez,Everton,61,Spain,Manuel García ...,1.91 Years,4-2-3-1,England
Dean Smith,Norwich,50,England,UEFA Pro Licence,2.75 Years,4-2-3-1,England
Bruno Lage,Wolves,45,Portugal,Gestifute,1.31 Years,5-4-1,England
David Moyes,West Ham,58,Scotland,UEFA Pro Licence,3.23 Years,4-2-3-1,England
Marcelo Bielsa,Leeds,66,Argentina,UEFA Pro Licence,1.83 Years,4-1-4-1,England
Graham Potter,Brighton,46,England,UEFA Pro Licence,3.65 Years,4-2-3-1,England
Ralph Hasenhüttl,Southampton,54,Austria,UEFA Pro Licence,2.09 Years,4-4-2 double 6,England
Patrick Vieira,Crystal Palace,45,France,Sport Cover,2.06 Years,4-3-3 Attacking,England
Graeme Jones,Newcastle,51,England,UEFA Pro Licence,0.51 Years,4-3-1-2,England
Thomas Frank,Brentford,48,Denmark,Elite Consulting,2.11 Years,4-3-3 Attacking,England
Daniel Farke,Without Club,45,Germany,UEFA Pro Licence,4.07 Years,4-2-3-1,England
Claudio Ranieri,Watford,70,Italy,Only4Stars,1.30 Years,4-4-1-1,England
Mikel Arteta,Arsenal,39,Spain,-,2.05 Years,4-2-3-1,England
Sean Dyche,Burnley,50,England,-,4.07 Years,4-4-2 double 6,England
Simone Inzaghi,Inter,45,Italy,UEFA Pro Licence,1.92 Years,3-5-2 flat,Italy
Luciano Spalletti,SSC Napoli,62,Italy,UEFA Pro Licence,1.44 Years,4-2-3-1,Italy
Stefano Pioli,AC Milan,56,Italy,GG11 s.r.l.,1.20 Years,4-2-3-1,Italy
José Mourinho,AS Roma,58,Portugal,Gestifute,1.79 Years,4-2-3-1,Italy
Gian Piero Gasperini,Atalanta BC,63,Italy,GOAL CLUB,2.77 Years,3-4-2-1,Italy
Maurizio Sarri,Lazio,62,Italy,LIAN Sports Group,1.15 Years,4-3-3 Attacking,Italy
Vincenzo Italiano,Fiorentina,44,Italy,UEFA Pro Licence,0.88 Years,4-3-3 Attacking,Italy
Alessio Dionisi,Sassuolo,41,Italy,Italian Managers ...,0.98 Years,4-3-1-2,Italy
Ivan Juric,Torino,46,Croatia,UEFA Pro Licence,0.84 Years,3-4-2-1,Italy
Walter Mazzarri,Cagliari Calcio,60,Italy,UEFA Pro Licence,1.64 Years,4-4-2 double 6,Italy
Sinisa Mihajlovic,Bologna,52,Serbia,UEFA Pro Licence,1.20 Years,4-2-3-1,Italy
Roberto D'Aversa,Sampdoria,46,Italy,UEFA Pro Licence,1.54 Years,4-3-3 Attacking,Italy
Igor Tudor,Hellas Verona,43,Croatia,UEFA Pro Licence,0.74 Years,3-4-2-1,Italy
Luca Gotti,Without Club,54,Italy,UEFA Pro Licence,1.31 Years,3-5-2 flat,Italy
Davide Ballardini,Without Club,58,Italy,P&P Sport ...,0.96 Years,3-5-2 flat,Italy
Aurelio Andreazzoli,FC Empoli,68,Italy,UEFA Pro Licence,0.89 Years,4-3-1-2,Italy
Thiago Motta,Spezia Calcio,39,Italy,UEFA Pro Licence,0.56 Years,4-2-3-1,Italy
Paolo Zanetti,Venezia,39,Italy,UEFA Pro Licence,1.22 Years,4-3-3 Attacking,Italy
Stefano Colantuono,Salernitana,59,Italy,UEFA Pro Licence,1.11 Years,4-3-1-2,Italy
Massimiliano Allegri,Juventus,54,Italy,-,UEFA Pro Licence,1.46 Years,Italy
Massimiliano Allegri,Juventus,54,Italy,-,UEFA Pro Licence,1.46 Years,Italy
Carlo Ancelotti,Real Madrid,62,Italy,CAA Base Ltd,2.09 Years,4-3-3 Attacking,Spain
Diego Simeone,Atlético Madrid,51,Argentina,UEFA Pro Licence,2.09 Years,4-4-2 double 6,Spain
Ronald Koeman,Without Club,58,Netherlands,Wasserman,1.65 Years,4-3-3 Attacking,Spain
Julen Lopetegui,Sevilla FC,55,Spain,UEFA Pro Licence,1.77 Years,4-3-3 Attacking,Spain
Imanol Alguacil,Real Sociedad,50,Spain,YOU FIRST SPORTS ,2.28 Years,4-2-3-1,Spain
Unai Emery,Villarreal,50,Spain,AC Talent,2.03 Years,4-4-2 double 6,Spain
Pepe Bordalás,Valencia,57,Spain,InterStarDeporte,1.57 Years,4-4-2,Spain
Manuel Pellegrini,Real Betis,68,Chile,no agent,1.91 Years,4-2-3-1,Spain
Marcelino,Athletic,56,Spain,Eugenio Botas ...,1.60 Years,4-4-2,Spain
Quique Sánchez Flores,Getafe,56,Spain,Relatives,1.45 Years,5-3-2,Spain
Eduardo Coudet,Celta de Vigo,47,Argentina,Scorefutbol,1.29 Years,4-4-2 Diamond,Spain
Vicente Moreno,Espanyol,47,Spain,Promoesport,2.06 Years,4-2-3-1,Spain
"Javier Pereira,Without Club,55,Spain,""SOCCERMEDIA, S.L."",1.36 Years,5-3-2,Spain"
Jagoba Arrasate,CA Osasuna,43,Spain,YOU FIRST SPORTS ,2.38 Years,4-4-2 double 6,Spain
Robert Moreno,Granada CF,44,Spain,Relatives,0.44 Years,4-3-3 Attacking,Spain
Luis García,RCD Mallorca,49,Spain,1.32 Years,4-2-3-1,,Spain
Javier Calleja,Without Club,43,Spain,AIS Management,1.15 Years,4-3-3 Attacking,Spain
Andoni Iraola,Rayo Vallecano,39,Spain,IDUB GLOBAL,1.03 Years,4-2-3-1,Spain
Álvaro Cervera,Cádiz CF,56,Spain,YOU FIRST SPORTS ,1.18 Years,4-4-2 double 6,Spain
Fran Escribá,Without Club,56,Spain,Licence trainer,1.22 Years,4-4-2,Spain
Mauricio Pochettino,Paris SG,49,Argentina,no agent,2.93 Years,4-3-3 Attacking,France
Niko Kovac,Without Club,50,Croatia,Alen Augustincic,1.58 Years,4-4-2 double 6,France
Peter Bosz,Olympique Lyon,58,Netherlands,ISM Int. Soccer ...,1.52 Years,4-2-3-1,France
Jocelyn Gourvennec,LOSC Lille,49,France,UEFA Pro Licence,2.12 Years,4-4-2 double 6,France
Jorge Sampaoli,Marseille,61,Argentina,Football Italia,1.22 Years,4-2-3-1,France
Christophe Galtier,OGC Nice,55,France,score agencies,3.86 Years,4-4-2 double 6,France
Bruno Génésio,Stade Rennais,55,France,Pini Zahavi,1.75 Years,4-3-3 Attacking,France
Vladimir Petkovic,G. Bordeaux,58,Switzerland,UEFA Pro Licence,2.35 Years,3-4-1-2,France
Frédéric Antonetti,FC Metz,60,France,SAS ASSIST & GOAL,2.50 Years,3-4-1-2,France
Óscar García,Stade Reims,48,Spain,Wasserman,0.79 Years,4-3-3 Attacking,France
Olivier Dall'Oglio,Montpellier,57,France,UEFA Pro Licence,2.20 Years,4-2-3-1,France
Franck Haise,Lens,50,France,Carmenta,2.26 Years,3-4-1-2,France
Antoine Kombouaré,FC Nantes,58,France,UEFA Pro Licence,1.93 Years,4-2-3-1,France
Julien Stéphan,R. Strasbourg,41,France,UEFA Pro Licence,2.21 Years,4-3-3 Attacking,France
Michel Der Zakarian,Stade Brestois,58,Armenia,CAA Base Ltd,1.91 Years,4-2-3-1,France
Gérald Baticle,SCO Angers,52,France,UEFA Pro Licence,1.39 Years,3-4-1-2,France
Christophe Pélissier,FC Lorient,56,France,CLK FOOT,3.81 Years,4-2-3-1,France
Laurent Batlles,Without Club,46,France,UEFA Pro Licence,2.17 Years,3-5-2 flat,France
Pascal Gastien,Clermont Foot,58,France,Louis DENOLLE,4.06 Years,4-2-3-1,France
Claude Puel,Without Club,60,France,-,2.63 Years,4-2-3-1,France
Julian Nagelsmann,FC Bayern ,34,Germany,Sports360 GmbH,2.00 Years,3-4-2-1,Germany
Marco Rose,Bor. Dortmund,45,Germany,UEFA Pro Licence,1.50 Years,4-2-3-1,Germany
Gerardo Seoane,Bay. Leverkusen,43,Switzerland,Signature - ISCM AG,1.50 Years,4-4-2,Germany
Mark van Bommel,Without Club,44,Netherlands,UEFA Pro Licence,0.93 Years,4-2-3-1,Germany
Adi Hütter,Bor. M'gladbach,51,Austria,Sand Christian ...,1.89 Years,3-4-2-1,Germany
Sebastian Hoeneß,TSG Hoffenheim,39,Germany,UEFA Pro Licence,1.64 Years,3-4-1-2,Germany
Oliver Glasner,E. Frankfurt,47,Austria,UEFA Pro Licence,1.52 Years,4-2-3-1,Germany
Pellegrino Matarazzo,VfB Stuttgart,44,United States,UEFA Pro Licence,1.51 Years,3-4-2-1,Germany
Christian Streich,SC Freiburg,56,Germany,UEFA Pro Licence,8.68 Years,4-4-2 double 6,Germany
Pál Dárdai,Without Club,45,Hungary,UEFA Pro Licence,1.37 Years,4-2-3-1,Germany
Bo Svensson,1.FSV Mainz 05,42,Denmark,UEFA Pro Licence,1.12 Years,3-4-1-2,Germany
Markus Weinzierl,FC Augsburg,47,Germany,BMS Sportconsulting ...,1.97 Years,4-4-2 double 6,Germany
Steffen Baumgart,1. FC Köln,50,Germany,UEFA Pro Licence,1.64 Years,4-1-4-1,Germany
Urs Fischer,Union Berlin,55,Switzerland,FPA Fairplay Agency ...,2.10 Years,3-4-1-2,Germany
Frank Kramer,Arm. Bielefeld,49,Germany,UEFA Pro Licence,1.23 Years,4-2-3-1,Germany
Thomas Reis,VfL Bochum,48,Germany,SEG,1.38 Years,4-2-3-1,Germany
Stefan Leitl,Greuther Fürth,44,Germany,ROOF,1.63 Years,4-3-1-2,Germany
Jesse Marsch,Without Club,48,United States,-,1.79 Years,4-4-2 double 6,Germany
